1;Amorphis;Amongst Stars
2;Haken;A Cell Divides
3;Angra;The Bottom of My Soul
4;1914;Passchenhell
5;Riverside;The Night Before
6;Amaranthe;365
0;Acrid;Wonderland
0;Alkaloid;Liquid Anatomy
0;Blaze Bayley;The Redemption of William Black
0;Dirty Shirt & Ansamblul Transilvania;FolkCore DeTour 
0;In Vain;Currents 
0;Madder Mortem;Marrow 
0;Parius;The Eldritch Realm 
0;Æpoch;Awakening Inception
